"","ID","topic","Nationality","condition","block_order","gender","media_time","rt_response","rt_text","news_paper","competence","threat","rating","type"
"121","15","pets","Latvian",NA,0,"Female",1,6.62211322784424,20.8788459300995,"WA",0,"threat",4,"person"
"122","15","pollution","Latvian",0,0,"Female",1,3.04118704795837,39.4076709747314,"Politiken",0," safe",2,"contrast"
"123","15","pollution","Latvian",0,0,"Female",1,3.04118704795837,39.4076709747314,"EB",0,"threat",3,"contrast"
"124","15","sleep","Latvian",NA,0,"Female",1,5.99080514907837,30.372575044632,"WA",0,"threat",4,"person"
"125","15","volcano","Latvian",1,0,"Female",1,4.20737314224243,27.2677111625671,"EB",0," safe",3,"contrast"
"126","15","volcano","Latvian",1,0,"Female",1,4.20737314224243,27.2677111625671,"WA",0,"threat",4,"contrast"
"127","20","acid rain","Danish",1,1,"Female",2,6.03931358391128,25.3033740905075,"Politiken",4," safe",2,"contrast"
"128","20","acid rain","Danish",1,1,"Female",2,6.03931358391128,25.3033740905075,"MX",1,"threat",1,"contrast"
"129","20","bacteria","Danish",1,1,"Female",2,2.16200848397875,15.7029283377833,"Politiken",4,"threat",2,"contrast"
"130","20","bacteria","Danish",1,1,"Female",2,2.16200848397875,15.7029283377833,"WA",4," safe",4,"contrast"
"131","20","blue_eyes","Danish",NA,1,"Female",2,4.65966066137298,21.4953464359805,"Politiken",4,"threat",2,"person"
"132","20","corruption","Danish",0,1,"Female",2,2.20752083275602,17.8260029949497,"MX",1,"threat",1,"contrast"
"133","20","corruption","Danish",0,1,"Female",2,2.20752083275602,17.8260029949497,"WA",4," safe",4,"contrast"
"134","20","countryside","Danish",NA,1,"Female",2,10.2005964239197,17.7559860495712,"MX",1," safe",1,"person"
"135","20","hayfever","Danish",NA,1,"Female",2,4.53427769686641,20.2362971835373,"WA",4," safe",4,"person"
"136","20","infertility","Danish",NA,1,"Female",2,2.07594834071824,23.5619394092409,"EB",3,"threat",3,"person"
"137","20","mafia","Danish",0,1,"Female",2,5.15804207503425,25.6007808627055,"EB",3," safe",3,"contrast"
"138","20","mafia","Danish",0,1,"Female",2,5.15804207503425,25.6007808627055,"MX",1,"threat",1,"contrast"
"139","20","pets","Danish",NA,1,"Female",2,4.10877013097524,35.3727228686648,"EB",3,"threat",3,"person"
"140","20","pollution","Danish",0,1,"Female",2,7.4890968657719,28.0403999971268,"WA",4," safe",4,"contrast"
"141","20","pollution","Danish",0,1,"Female",2,7.4890968657719,28.0403999971268,"EB",3,"threat",3,"contrast"
"142","20","sleep","Danish",NA,1,"Female",2,2.52603594144239,22.2110710484467,"WA",4,"threat",4,"person"
"143","20","volcano","Danish",1,1,"Female",2,3.42257830437393,23.9669970553432,"MX",1," safe",1,"contrast"
"144","20","volcano","Danish",1,1,"Female",2,3.42257830437393,23.9669970553432,"Politiken",4,"threat",2,"contrast"
"145","2017581679","acid rain","German",1,1,"Female",3,2.5795910358429,14.5212380886078,"WA",0,"threat",4,"contrast"
"146","2017581679","acid rain","German",1,1,"Female",3,2.5795910358429,14.5212380886078,"Politiken",0," safe",2,"contrast"
"147","2017581679","bacteria","German",0,1,"Female",3,7.22156190872192,20.7457180023193,"EB",0," safe",3,"contrast"
"148","2017581679","bacteria","German",0,1,"Female",3,7.22156190872192,20.7457180023193,"Politiken",0,"threat",2,"contrast"
"149","2017581679","blue_eyes","German",NA,1,"Female",3,4.78342390060425,42.1339449882507,"EB",0," safe",3,"person"
"150","2017581679","corruption","German",0,1,"Female",3,7.18227195739746,18.4847099781036,"EB",0,"threat",3,"contrast"
"151","2017581679","corruption","German",0,1,"Female",3,7.18227195739746,18.4847099781036,"Politiken",0," safe",2,"contrast"
"152","2017581679","countryside","German",NA,1,"Female",3,2.57842016220093,18.1871218681335,"MX",0,"threat",1,"person"
"153","2017581679","hayfever","German",NA,1,"Female",3,4.5703821182251,21.5463531017303,"EB",0," safe",3,"person"
"154","2017581679","infertility","German",NA,1,"Female",3,7.63470983505249,22.2322208881378,"EB",0," safe",3,"person"
"155","2017581679","mafia","German",1,1,"Female",3,10.4601130485535,25.2567870616913,"WA",0," safe",4,"contrast"
"156","2017581679","mafia","German",1,1,"Female",3,10.4601130485535,25.2567870616913,"Politiken",0,"threat",2,"contrast"
"157","2017581679","pets","German",NA,1,"Female",3,4.06068897247314,14.0723149776459,"WA",0,"threat",4,"person"
"158","2017581679","pollution","German",1,1,"Female",3,7.42573714256287,36.5580720901489,"WA",0," safe",4,"contrast"
"159","2017581679","pollution","German",1,1,"Female",3,7.42573714256287,36.5580720901489,"EB",0,"threat",3,"contrast"
"160","2017581679","sleep","German",NA,1,"Female",3,3.29691910743713,26.9699609279633,"WA",0,"threat",4,"person"
